"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 17 03:27:07 UTC 2023","Sun Sep 17 03:27:10 UTC 2023","3025","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Sep 17 03:57:41 UTC 2023","Sun Sep 17 03:57:46 UTC 2023","5246","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sun Sep 17 02:24:19 UTC 2023","Sun Sep 17 02:24:21 UTC 2023","2809","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sun Sep 17 03:57:46 UTC 2023","Sun Sep 17 03:57:54 UTC 2023","7854","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sun Sep 17 02:52:22 UTC 2023","Sun Sep 17 02:52:31 UTC 2023","9341","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sun Sep 17 02:36:37 UTC 2023","Sun Sep 17 02:36:47 UTC 2023","9376","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Sep 17 03:01:37 UTC 2023","Sun Sep 17 03:01:56 UTC 2023","18940","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sun Sep 17 02:55:51 UTC 2023","Sun Sep 17 02:55:58 UTC 2023","7142","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sun Sep 17 04:37:30 UTC 2023","Sun Sep 17 04:38:10 UTC 2023","39249","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sun Sep 17 03:18:17 UTC 2023","Sun Sep 17 03:18:17 UTC 2023","327","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sun Sep 17 03:55:25 UTC 2023","Sun Sep 17 03:55:27 UTC 2023","2444","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sun Sep 17 03:55:15 UTC 2023","Sun Sep 17 03:55:25 UTC 2023","9697","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Sep 17 03:15:09 UTC 2023","Sun Sep 17 03:15:09 UTC 2023","671","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sun Sep 17 02:55:58 UTC 2023","Sun Sep 17 02:56:00 UTC 2023","1892","","6. Company Account","","","","3. Complete Investment Choice",""
